Team1Name,Team1Score,Team2Name,Team2Score,Team1MasseyRating,Team2MasseyRating
Quinnipiac,71,Central Conn,49,-3.997091735107692,-10.69680210540559
Robert Morris,81,Drake,79,-3.837549906546749,0.7544156025781878
SMU,69,TAM C. Christi,58,18.858138555743015,-2.5860191794207728
South Alabama,76,Alcorn St,70,-5.806253567999122,-20.10652752334088
St Louis,108,Chicago St,86,21.74212133595362,-16.24969652612226
TCU,104,St Francis PA,63,14.466735878512502,-18.95162660287704
Texas A&M,104,TX Southern,70,19.179102352686098,-14.284509430349972
UC Riverside,74,North Dakota,70,-8.761132749466462,-8.39620613812819
Washington,84,Denver,70,15.817584011338012,-6.718963056154548
West Virginia,73,Campbell,65,12.114842312208815,-4.608704820965019
Xavier,74,Le Moyne,69,7.778365709841898,-9.839160736172351
Mercyhurst,73,Loyola-Chicago,65,-9.513220387331831,-7.919700317024193
Arizona,93,Utah Tech,67,29.622564216561056,-3.4850425266828218
Bucknell,73,Mt St Mary's,62,-13.096288524993339,-11.970313880036324
Buffalo,83,WI Green Bay,76,-1.2829899801500664,-5.7700409143629
Charlotte,70,Tennessee Tech,65,1.2042231354891468,-14.281089336240143
Cincinnati,74,Georgia St,64,12.416982907123183,-9.841027531814934
Clemson,97,Gardner Webb,59,17.882590338253785,-24.646235285714415
Columbia,71,New Haven,53,-1.1455860463245808,-14.029552843602488
Connecticut,110,MA Lowell,47,25.10729111927154,-14.238798983700297
Davidson,85,Washington St,69,6.002686977751972,4.5380550036221035
DePaul,72,Stonehill,64,7.564957311061451,-13.871167902361144
Duquesne,92,Sacred Heart,80,4.686016814942015,-10.913977813629936
E Illinois,65,Nicholls St,57,-12.380585287610003,-6.207446160282377
SIUE,77,UT San Antonio,60,-8.17415727893679,-15.648689776756592
Florida St,101,Alabama St,64,8.465280031603305,-13.932727716177093
George Mason,96,Winthrop,90,8.095174888899992,1.3368316881639872
Georgetown,70,Maryland,60,8.097403188054626,2.5510536362520244
Georgia Tech,74,Bryant,45,4.81995930743693,-15.975655117989465
Idaho St,71,San Diego,68,-2.6900359146858124,-2.184946658816856
Illinois,113,FGCU,70,27.558451754312838,-4.349217773076286
Iona,81,Hofstra,73,-5.622253380566301,2.086644182827586
Iowa,77,W Illinois,58,21.236487010988846,-21.1486742641898
Kent,110,Cornell,102,1.3438007614795435,-2.5897361889852073
Kentucky,107,Valparaiso,59,20.62694485238151,0.7826673040916575
Liberty,90,Col Charleston,75,5.976024139614131,-0.4606347634581468
Mississippi,86,ULM,65,10.46160439503338,-18.229928278847783
Missouri,89,SE Missouri St,84,11.56899502860914,-6.757013248262701
Murray St,108,MS Valley St,60,7.098433930540837,-28.348205063722833
NC State,94,UAB,70,21.788929391891067,4.233612921761928
North Carolina,87,Kansas,74,20.177147542199364,23.957485614866563
Northeastern,68,Colgate,65,-6.463460575559628,-3.5300665357659207
Northwestern,76,Boston Univ,52,11.78237952913321,-9.831287835150842
Notre Dame,102,Detroit,70,10.06327913551909,-7.342812147525938
Ohio St,94,PFW,68,16.95643641170654,-5.625687252766425
Oregon,67,Rice,63,8.997587225487342,-4.818057589699624
Oregon St,76,IL Chicago,73,-0.9699153817654318,1.7665509943221132
Pittsburgh,78,Longwood,60,8.195075774872146,-9.004272423423975
Purdue,87,Oakland,77,26.152648451209974,1.2988617496209411
S Illinois,101,Missouri KC,78,3.3850180919715123,-16.661368094073026
Samford,82,S Carolina St,72,-7.386171296092927,-22.2908843957574
Santa Clara,79,McNeese St,67,16.697031882728538,8.413093453200572
Seton Hall,68,Wagner,61,13.61217858159576,-12.601506934083272
SF Austin,90,Arkansas St,65,6.14950134383293,-2.643647731191786
Siena,62,Brown,46,-3.3587700316394775,-9.277418865214003
St Mary's CA,87,Chattanooga,66,16.908220628065287,-11.311391432436908
Texas Tech,98,Sam Houston St,77,22.11626746517065,4.794162125506685
Troy,64,Furman,61,0.09710533684838424,-2.2995798984529365
Tulsa,82,Rhode Island,65,12.474016558063923,4.372881568912538
UCLA,74,Pepperdine,63,17.20134853209326,-5.588454031414728
Louisiana,58,SE Louisiana,52,-12.137067018502796,-8.378711089435738
Utah St,80,VCU,77,19.392266810705305,12.760710460803173
Virginia,81,NC Central,62,20.91879714221833,-16.23054921366116
VMI,78,Southern Indiana,74,-19.385486784833247,-14.295320327497267
Wake Forest,81,Morehead St,65,12.26856625050307,-11.585204401367001
Wisconsin,97,N Illinois,72,16.984647164159234,-10.69931700103686
Yale,97,Navy,68,8.176250244240705,-2.05716253834581
Youngstown St,90,Grand Canyon,81,-2.8049667940666527,11.357472832207115
Cal Baptist,69,UC Irvine,61,2.1953924231003668,3.4963503402669383
Akron,104,Princeton,69,11.189246661258986,-5.435545860544262
Alabama,103,St John's,96,22.89926309681164,22.387807157714732
Austin Peay,74,Air Force,54,-0.6575938360595827,-12.735240615401642
Belmont,87,Tennessee St,79,10.045584450409333,-7.984243030172132
Boise St,101,Utah Valley,77,13.415037567503262,6.639639918156236
Bradley,85,C Michigan,54,3.590955518992814,-9.604265919979685
Butler,112,IUPUI,80,12.436267405379676,-12.491570369997088
BYU,98,Holy Cross,53,22.96623370113013,-13.04688731791795
Cal Poly,73,Seattle,71,-6.316796372758351,4.296087924139515
Colorado,102,E Washington,97,10.951503521035468,-5.263958334345224
Dayton,77,UMBC,71,7.453720484555427,-8.519516689602433
Duke,95,W Carolina,54,30.47631292494664,-9.503110725382177
Elon,92,UNC Greensboro,90,-1.7109036279344259,-12.065434872466879
Fairfield,74,NJIT,53,-8.368082465442098,-14.80646949052454
FL Atlantic,94,Col Charleston,77,6.351804649646517,-0.4606347634581468
Fresno St,82,Long Beach St,62,4.073803256746674,-4.652494408015093
G Washington,99,South Florida,95,9.857746736889899,10.967070575235171
Ga Southern,93,UNC Asheville,90,-8.452463657169565,-4.515129557592766
Gonzaga,83,Oklahoma,68,26.12679094319873,11.432263406894199
Houston,65,Towson,48,25.82056645334507,-0.5464166889081582
Kansas St,98,Bellarmine,71,10.199483531346415,-9.739354468795353
Kennesaw,92,Florida A&M,72,0.6339937118072055,-14.958411699952181
La Salle,73,Monmouth NJ,60,-4.388475820600071,-3.848522919496683
Loy Marymount,94,Ark Pine Bluff,72,1.5500504379175963,-13.668354319462967
Marshall,85,Toledo,73,0.16629603079518857,0.3389247220623984
Massachusetts,83,SUNY Albany,62,-0.4961988777783989,-13.163496176751917
Memphis,76,San Francisco,70,7.369641932350132,6.276755571400898
Michigan St,69,Arkansas,66,24.386031921594633,21.77145836677927
Minnesota,95,Alcorn St,50,10.308552144640325,-20.10652752334088
Nebraska,96,Florida Intl,66,23.21892114201473,-1.0098371649423266
Nevada,78,Pacific,77,12.180469852648914,4.378468361891341
New Mexico,74,UT Arlington,56,14.880097023188116,-0.020907387432929244
Niagara,67,Binghamton,59,-16.995194255109116,-21.707046613042007
Penn St,87,New Haven,43,5.083955436049424,-14.029552843602488
Presbyterian,68,ETSU,64,-8.171853518367254,1.9085058569619273
Richmond,87,East Carolina,72,3.374354993392689,-6.938769569086803
UC Santa Barbara,85,San Jose St,74,3.2846658019866024,-3.069027491311642
St Bonaventure,89,Canisius,70,2.3358205694267835,-17.060558122515523
St Joseph's PA,76,Drexel,65,0.6346552500089729,-3.932084854527281
St Peter's,93,F Dickinson,83,-6.3187048872930385,-14.479566581615781
Stanford,91,Montana,68,11.495746482735854,0.4272721445912008
Stony Brook,71,Maine,60,-4.2986893622781555,-16.277077360329795
Syracuse,83,Delaware St,43,11.66262825734674,-20.10207053375217
Tennessee,95,N Kentucky,56,22.52532774922322,-2.4537270857196694
Texas,97,Lafayette,60,17.79158970367343,-12.102088387400759
Tulane,79,Texas St,71,-1.5078676189201856,-8.993596293102888
UTRGV,95,Southern Utah,72,-0.22814271103413875,-11.107617721609282
UNLV,101,Chattanooga,69,3.1267531403743414,-11.311391432436908
Utah,92,Weber St,89,6.364077339194109,-2.4753255840285364
Vanderbilt,105,UCF,93,24.154102986278797,15.06572674394935
Villanova,94,Queens NC,74,18.019965533374403,-4.175091457795946
Virginia Tech,107,Providence,101,13.649896701268442,11.241342833123284
Wichita St,105,Prairie View,62,8.433712769495724,-14.826501312313303
William & Mary,81,Norfolk St,78,1.656572728906202,-13.021484758554106
Wofford,86,WI Milwaukee,76,-5.064308768836391,-6.744387041618924
Wyoming,92,CS Fullerton,82,8.357185218844622,-2.1915793640363734
Tarleton St,85,TAM C. Christi,77,-2.827342432024417,-2.5860191794207728
UC San Diego,78,Houston Chr,60,3.4181336664537407,-9.978893333224674
St Thomas MN,83,Army,76,2.882581967815671,-14.42534764296668
American Univ,84,Penn,78,-6.396969179237704,-2.0570696017200927
Appalachian St,76,NC Central,54,-3.019964221943779,-16.23054921366116
Arizona St,81,Utah Tech,66,10.603952967409308,-3.4850425266828218
