Team,Wins,Losses,WL%,TEAM Total Points,TEAM Red Zone Scores,TEAM Red Zone Attempts,TEAM Scoring Points/Game,TEAM PAT Kicking Attempts,TEAM PAT Kicking Made,OPP Scoring Points/Game,TEAM Total Offense Yards,TEAM First Downs Total,Turnover margin,TEAM Total Offense Plays,TEAM Passing Rating,TEAM Rushing TD,OPP Passing Rating,OPP Total Points,OPP Total Offense Yards / Play,TEAM 3rd Down Conversions,OPP Passing Attempts,TEAM Total Offense Yards / Play,OPP Passing Interceptions,TEAM Interceptions Returns,OPP Passing Yards per Attempt,OPP 3rd Down Conversions Attempts,TEAM 3rd Down Conversion %,OPP Rushing TD,TEAM First Downs Rushing,OPP Red Zone Scores,TEAM Rushing Yards,OPP 4th Down Conversions Attempts,OPP Rushing Yards / Attempt,TEAM Passing Yards per Attempt,OPP Punting Yards,OPP Punting Punts,TEAM Rushing Attempts,TEAM Passing TD,OPP Red Zone Success %,OPP Fumbles Number,OPP Rushing Yards,OPP Red Zone Attempts,OPP Total Offense Plays,TEAM Rushing Yards / Attempt,TEAM 4th Down Conversion %,OPP 3rd Down Conversion %,TEAM First Downs Passing,TEAM Passing Yards,OPP Passing Completions,OPP Fumbles Lost,TEAM Passing Interceptions,OPP Interceptions Returns,TEAM Field Goals Attempts,TEAM Punt Returns Returns,TEAM Field Goals Made,OPP Passing TD,TEAM Punting Punts,OPP 4th Down Conversion %,TEAM Punting Yards,OPP Punt Returns Returns,TEAM Interceptions Yards,OPP First Downs Rushing,TEAM 3rd Down Conversions Attempts,TEAM Red Zone Success %,OPP 4th Down Conversions,TEAM Punt Returns Yards,TEAM Time of Possession,TEAM Passing Completions,TEAM Kickoff Returns Returns,OPP Total Offense Yards,OPP Time of Possession,OPP Punt Returns Yards,TEAM Interceptions TD,OPP Kickoff Returns Returns,OPP Penalties Number,OPP Kickoff Returns Yards / Return,OPP Interceptions TD,TEAM Kickoff Returns Yards,OPP Kickoff Returns Yards,TEAM Passing Attempts,OPP Interceptions Yards,TEAM 4th Down Conversions,TEAM Fumbles Number,TEAM Fumbles Lost,OPP First Downs By Penalty,TEAM Penalties Yards,OPP First Downs Total,OPP Punting Yards / Punt,OPP First Downs Passing,TEAM 4th Down Conversions Attempts,TEAM Punt Returns Yards / Return,TEAM Penalties Number,TEAM PAT Kicking Success %,TEAM Kickoff Returns TD,OPP Penalties Yards,OPP Field Goals Made,TEAM Field Goals Success %,OPP Passing Yards,OPP PAT Kicking Success %,OPP Field Goals Attempts,TEAM First Downs By Penalty,TEAM Kickoff Returns Yards / Return,OPP Kickoff Returns TD,OPP Field Goals Success %,TEAM Punting Yards / Punt,OPP 3rd Down Conversions,OPP Punt Returns TD,TEAM Punt Returns TD,OPP Rushing Attempts,OPP Punt Returns Yards / Return
Nevada,3,10,0.23076923076923078,300,34,38,23.1,38,37,28.8,4889,253,-2,828,143.69,21,129.04,374,6.04,75,347,5.9,11,11,7.4409221902017295,165,0.4464,31,114,48,2125,11,5.05,7.551912568306011,1683,41,462,19,0.8726999999999999,11,2507,55,843,4.6,0.5172,0.5273,117,2764,210,2,8,8,8,10,5,13,48,0.6364,1937,7,91,135,168,0.8946999999999999,7,74,1851.77,247,34,5089,1737.85,37,1,28,70,19.46,0,612,545,366,56,15,16,7,36,935,297,41.05,126,29,7.4,99,0.9740000000000001,0,639,17,0.625,2582,1.0,20,22,18.0,0,0.85,40.35,87,0,0,496,5.29
New Mexico,5,7,0.4166666666666667,402,44,48,33.5,42,41,38.0,5811,298,-9,846,121.56,37,159.19,456,6.81,65,396,6.87,3,3,8.45959595959596,164,0.4362,27,149,45,3043,21,5.42,7.097435897435897,1507,36,456,12,0.9375,17,2555,48,867,6.67,0.7222,0.5,125,2768,256,7,12,12,18,9,13,30,41,0.619,1750,16,3,127,149,0.9167000000000001,13,88,1732.92,226,19,5905,1868.5,208,0,31,84,23.68,1,348,734,390,109,13,16,7,29,978,296,41.86,140,18,9.78,112,0.976,0,785,15,0.722,3350,1.0,20,24,18.32,0,0.75,42.68,82,1,1,471,13.0
San Diego State,3,9,0.25,256,30,38,21.3,27,26,29.6,4015,222,3,799,126.61,13,144.06,355,5.93,64,343,5.03,7,7,7.489795918367347,169,0.3616,25,83,42,1547,25,4.89,6.581333333333333,1887,48,424,15,0.9129999999999999,11,2487,46,852,3.65,0.5313,0.47340000000000004,114,2468,223,5,8,8,17,18,14,21,60,0.56,2699,21,213,135,177,0.7895,14,108,1628.33,234,28,5056,1976.08,115,2,19,78,16.05,1,561,305,375,68,17,6,1,31,981,279,39.31,113,32,6.0,109,0.963,0,766,9,0.8240000000000001,2569,0.955,14,25,20.04,0,0.643,44.98,80,0,0,509,5.48
San Jose State,7,6,0.5384615384615384,369,39,48,28.4,45,45,27.5,5328,284,-1,876,133.64,13,122.55,358,5.05,67,435,6.08,21,21,6.958620689655173,210,0.39880000000000004,25,71,43,1145,32,3.52,7.577898550724638,2313,52,324,31,0.7963,15,1921,54,980,3.53,0.5294,0.4619,180,4183,268,7,16,16,17,8,12,16,57,0.5,2376,16,145,124,168,0.8125,16,52,1581.23,316,22,4948,2011.38,110,2,32,106,20.88,1,399,668,552,342,9,24,13,22,784,279,44.48,133,17,6.5,91,1.0,0,977,16,0.706,3027,0.976,20,33,18.14,1,0.8,41.68,97,0,0,545,6.88
UNLV,11,3,0.7857142857142857,495,57,71,35.4,59,58,21.3,5826,296,14,932,146.13,29,117.08,298,5.04,79,517,6.25,17,17,6.386847195357833,201,0.401,17,166,31,3409,35,3.52,7.82200647249191,3092,77,623,25,0.8158,12,1610,38,974,5.47,0.6957,0.3234,106,2417,296,6,6,6,34,34,27,20,55,0.6,2394,15,218,94,197,0.8028,21,406,1812.21,178,29,4912,1791.57,74,1,23,90,17.3,1,580,398,309,119,16,13,3,27,689,277,40.16,156,23,11.94,78,0.983,1,844,11,0.794,3302,1.0,14,24,20.0,0,0.7859999999999999,43.53,65,0,2,457,4.93
Utah State,4,8,0.3333333333333333,383,41,48,31.9,47,45,37.8,5612,270,-6,880,136.89,21,150.38,453,6.48,70,393,6.38,13,13,7.804071246819339,169,0.4,27,108,54,2383,17,5.38,7.050218340611353,2118,50,422,29,0.9309999999999999,11,2574,58,871,5.65,0.5185,0.4379,140,3229,267,3,17,17,16,16,10,28,55,0.7059000000000001,2339,13,114,112,175,0.8542000000000001,12,139,1639.33,294,25,5641,1960.58,63,1,20,90,22.0,0,479,440,458,120,14,10,5,21,885,281,42.36,148,27,8.69,94,0.9570000000000001,0,713,20,0.625,3067,0.98,22,22,19.16,1,0.909,42.53,74,0,0,478,4.85
Wyoming,3,9,0.25,232,29,32,19.3,25,25,28.3,3927,208,-5,807,111.3,14,138.15,340,6.47,66,342,4.87,6,6,7.681286549707602,143,0.36460000000000004,21,86,36,1654,22,5.48,6.550432276657061,2403,55,460,11,0.9473999999999999,12,2300,38,762,3.6,0.6,0.2587,97,2273,211,5,11,11,19,9,15,16,66,0.5,2665,18,37,104,181,0.9063,11,29,1852.08,181,21,4927,1747.92,102,1,19,85,23.37,2,532,444,347,142,15,18,5,18,598,239,43.69,117,25,3.22,66,1.0,1,706,18,0.789,2627,1.0,24,25,25.33,1,0.75,40.38,37,0,0,420,5.67
Oregon State,5,7,0.4166666666666667,291,33,41,24.3,33,33,29.9,4687,268,-4,844,116.71,29,140.48,359,6.52,76,317,5.55,5,5,8.10410094637224,131,0.4393,26,133,43,2270,15,5.32,6.713888888888889,1415,34,484,7,0.8112999999999999,11,2230,53,736,4.69,0.5238,0.45039999999999997,110,2417,190,7,11,11,15,8,10,15,34,0.4667,1570,16,88,116,173,0.8049,7,27,1989.25,216,19,4799,1610.75,90,1,6,62,18.83,3,373,113,360,122,22,14,5,17,548,249,41.62,116,42,3.38,61,1.0,0,594,16,0.667,2569,1.0,19,25,19.63,0,0.8420000000000001,46.18,59,0,0,419,5.63
Washington State,8,5,0.6153846153846154,476,42,50,36.6,58,56,29.9,5757,298,8,869,164.26,28,135.18,389,6.3,65,486,6.62,14,14,7.2366255144032925,171,0.42210000000000003,23,118,43,2168,29,5.24,8.99498746867168,1825,45,470,33,0.8431000000000001,17,2237,51,913,4.61,0.5556,0.386,154,3589,307,8,9,9,13,13,8,25,41,0.5517,1714,9,263,110,154,0.84,16,93,1737.92,263,27,5754,1862.08,113,3,26,95,19.12,0,612,497,399,76,15,11,5,28,752,297,40.56,159,27,7.15,80,0.966,0,753,19,0.615,3517,1.0,23,26,22.67,0,0.826,41.8,66,0,1,427,12.56
Alabama,9,4,0.6923076923076923,439,40,47,33.8,57,57,17.4,5333,271,7,842,146.4,41,112.37,226,4.72,78,395,6.33,17,17,5.99746835443038,189,0.4727,10,126,29,2260,23,3.68,8.680790960451978,2759,63,488,17,0.7837999999999999,20,1792,37,882,4.63,0.5,0.32799999999999996,127,3073,236,11,11,11,10,25,8,13,52,0.6522,2359,8,242,100,165,0.8511,15,224,1746.46,226,14,4161,1838.46,8,0,26,75,18.38,2,282,478,354,200,8,19,10,33,898,245,43.79,112,16,8.96,95,1.0,0,622,17,0.8,2369,0.95,26,18,20.14,0,0.654,45.37,62,0,0,487,1.0
Arkansas,7,6,0.5384615384615384,402,46,54,30.9,49,49,25.0,5973,314,-8,908,142.45,34,139.05,325,5.55,72,418,6.58,10,10,7.679425837320574,181,0.4364,15,149,38,2402,31,3.63,8.6256038647343,2408,61,494,16,0.8085,11,1679,47,881,4.86,0.6087,0.3591,150,3571,259,5,9,9,24,11,17,22,41,0.5161,1855,9,135,85,165,0.8519,16,68,1824.54,255,15,4889,1775.38,52,0,20,85,22.25,1,244,445,414,197,14,30,14,31,778,259,39.48,143,23,6.18,93,1.0,0,701,15,0.708,3210,1.0,18,15,16.27,0,0.833,45.24,65,0,0,463,5.78
Auburn,5,7,0.4166666666666667,333,32,41,27.8,41,41,21.3,5153,252,-9,773,151.53,13,123.54,256,4.88,61,354,6.67,8,8,7.220338983050848,184,0.4178,18,108,29,1986,19,3.08,8.582655826558266,2645,61,404,27,0.7837999999999999,14,1413,37,813,4.92,0.47369999999999995,0.3967,127,3167,199,5,13,13,22,19,12,12,41,0.5263,1741,8,58,90,146,0.7805,10,130,1633.83,230,23,3969,1916.17,30,0,16,78,20.5,1,509,328,369,114,9,15,9,22,592,213,43.36,101,19,6.84,69,1.0,0,642,13,0.545,2556,1.0,22,17,22.13,0,0.591,42.46,73,0,1,459,3.75
Florida,8,5,0.6153846153846154,368,44,51,28.3,44,44,23.1,5030,250,6,803,142.06,26,124.42,300,5.25,61,421,6.26,14,14,7.02375296912114,184,0.3789,17,113,29,2096,29,3.79,8.578947368421053,2336,54,461,18,0.725,24,1943,40,933,4.55,0.4667,0.3967,119,2934,244,11,14,14,21,14,18,18,59,0.5172,2699,17,167,121,161,0.8626999999999999,15,187,1714.38,208,15,4900,1883.0,119,1,15,63,22.53,1,305,338,342,238,7,14,5,24,702,282,43.26,137,15,13.36,77,1.0,0,573,14,0.857,2957,0.97,21,18,20.33,1,0.667,45.75,73,0,0,512,7.0
Georgia,11,3,0.7857142857142857,441,54,60,31.5,48,48,20.6,5676,306,-1,942,143.5,24,121.27,288,5.05,69,426,6.03,8,8,6.57981220657277,195,0.392,14,102,34,1742,31,3.71,7.668615984405458,2738,64,429,29,0.8095,18,1815,42,915,4.06,0.6667000000000001,0.3282,181,3934,251,11,13,13,23,21,21,14,46,0.5484,2157,11,23,98,176,0.9,17,168,1805.29,336,12,4618,1794.36,57,0,21,89,21.43,0,186,450,513,156,18,24,7,27,751,249,42.78,124,27,8.0,80,1.0,0,690,27,0.9129999999999999,2803,1.0,32,23,15.5,1,0.8440000000000001,46.89,64,0,0,489,5.18
Kentucky,4,8,0.3333333333333333,247,27,34,20.6,27,26,22.1,3965,233,-7,755,118.22,11,133.28,265,5.8,48,279,5.25,10,10,7.899641577060932,142,0.33799999999999997,20,115,34,1747,9,4.45,7.108974358974359,2232,49,443,15,0.7082999999999999,19,1942,48,715,3.94,0.44,0.4014,91,2218,177,6,17,17,16,16,15,9,44,0.6667000000000001,1937,12,99,104,142,0.7940999999999999,6,130,1770.67,167,30,4146,1702.75,39,1,16,81,17.81,2,613,285,312,268,11,25,6,17,625,215,45.55,94,25,8.13,75,0.963,1,662,14,0.938,2204,1.0,20,27,20.43,0,0.7,44.02,57,0,0,436,3.25
LSU,9,4,0.6923076923076923,396,44,53,30.5,42,41,24.3,5610,306,-3,907,142.29,15,131.9,316,5.88,92,380,6.19,6,6,7.673684210526316,161,0.49200000000000005,26,79,31,1513,24,4.28,7.6722846441947565,2187,48,373,29,0.7561,21,1821,41,805,4.06,0.5,0.40990000000000004,197,4097,232,8,12,12,29,14,23,11,32,0.3333,1266,9,62,100,187,0.8301999999999999,8,66,1923.77,344,29,4737,1676.23,75,1,8,92,22.38,0,801,179,534,100,12,10,5,17,645,242,45.56,125,24,4.71,82,0.976,2,832,17,0.7929999999999999,2916,1.0,21,30,27.62,0,0.81,39.56,66,0,0,425,8.33
Mississippi,10,3,0.7692307692307693,502,49,61,38.6,60,58,14.4,6845,322,10,934,176.59,29,120.33,187,4.48,71,447,7.33,12,12,6.7114093959731544,204,0.4226,7,129,23,2284,37,2.29,10.509216589861751,3269,76,500,31,0.7188,19,1046,32,903,4.57,0.5861999999999999,0.3186,176,4561,267,11,7,7,29,21,24,13,36,0.5135000000000001,1676,11,85,76,168,0.8033,19,126,1703.0,295,7,4046,1894.77,61,1,11,80,23.27,0,141,256,434,69,17,12,6,33,936,242,43.01,133,29,6.0,94,0.9670000000000001,0,699,14,0.828,3000,0.95,17,17,20.14,1,0.8240000000000001,46.56,65,0,0,456,5.55
Mississippi State,2,10,0.16666666666666666,310,33,41,25.8,39,38,34.1,4526,244,-6,787,136.65,19,159.33,409,6.34,59,341,5.75,7,7,8.428152492668621,165,0.3688,24,94,49,1655,19,4.98,7.801630434782608,1505,37,419,19,0.8595999999999999,12,2603,57,864,3.95,0.5676,0.4727,122,2871,240,5,8,8,12,18,10,23,44,0.7368000000000001,1971,14,72,130,160,0.8049,14,163,1541.33,215,12,5477,2058.67,132,1,10,75,16.9,0,308,169,368,59,21,20,10,21,723,286,40.68,135,37,9.06,82,0.9740000000000001,0,706,22,0.833,2874,1.0,25,28,25.67,0,0.88,44.8,78,0,1,523,9.43
Missouri,10,3,0.7692307692307693,376,46,50,28.9,37,36,20.4,5064,276,8,922,131.67,26,131.75,265,5.43,89,325,5.49,7,7,7.252307692307692,159,0.4635,15,137,30,2138,24,4.07,7.242574257425742,2562,61,518,14,0.8332999999999999,21,1771,36,760,4.13,0.5263,0.3019,120,2926,198,10,5,5,34,8,24,14,49,0.5,2047,11,161,93,192,0.92,12,37,1973.77,250,23,4128,1617.38,82,1,17,78,25.18,0,450,428,404,47,10,10,4,18,658,211,42.0,100,19,4.63,73,0.973,0,682,14,0.706,2357,1.0,18,19,19.57,1,0.778,41.78,48,0,0,435,7.45
Oklahoma,6,7,0.46153846153846156,312,37,45,24.0,33,32,21.5,4303,247,0,894,125.42,17,132.11,280,4.94,73,361,4.81,9,9,7.315789473684211,196,0.3782,11,120,31,2017,21,3.14,6.128686327077748,3121,69,521,16,0.8158,17,1496,38,837,3.87,0.5161,0.36219999999999997,100,2286,217,12,6,6,20,28,16,17,61,0.47619999999999996,2726,22,184,81,193,0.8222,10,223,1739.0,235,13,4137,1861.69,107,2,16,81,24.38,2,246,390,373,118,16,26,15,17,591,212,45.23,114,31,7.96,69,0.97,0,688,17,0.8,2641,0.9,22,27,18.92,1,0.773,44.69,71,0,0,476,4.86
South Carolina,9,4,0.6923076923076923,396,37,47,30.5,45,45,18.1,5301,280,3,893,152.99,26,115.16,235,4.84,77,397,5.94,14,14,6.692695214105793,177,0.4326,18,134,31,2397,23,3.21,8.491228070175438,2754,65,551,21,0.775,28,1459,40,851,4.35,0.48,0.35590000000000005,125,2904,229,10,7,7,21,18,15,10,48,0.3043,2277,18,173,95,178,0.7872,7,125,1868.85,224,16,4116,1731.0,72,2,24,77,16.67,0,308,400,342,73,12,25,14,22,754,235,42.37,118,25,6.94,87,1.0,0,645,15,0.7140000000000001,2657,0.9520000000000001,17,21,19.25,0,0.882,47.44,63,0,0,454,4.0
Tennessee,10,3,0.7692307692307693,464,52,63,35.7,56,56,16.1,5811,304,6,958,142.46,34,116.28,209,4.56,93,381,6.07,12,12,6.459317585301838,175,0.4721,13,151,27,2936,22,2.97,7.68716577540107,3136,72,584,21,0.7297,24,1351,37,836,5.03,0.6111,0.3029,135,2875,224,9,7,7,26,27,20,11,53,0.3182,2329,17,247,86,197,0.8254,7,424,1774.15,236,14,3812,1825.15,115,1,10,89,22.9,1,290,229,374,256,11,18,8,25,869,225,43.56,114,18,15.7,105,1.0,0,691,10,0.769,2461,0.955,19,18,20.71,1,0.526,43.94,53,0,1,455,6.76
Texas,13,3,0.8125,528,55,69,33.0,66,66,15.3,7000,354,5,1127,154.46,26,104.55,245,4.4,92,489,6.21,22,22,5.6871165644171775,226,0.4299,15,138,27,2540,37,3.24,8.243992606284658,3498,81,586,40,0.6923,24,1754,39,1031,4.33,0.5455,0.31420000000000003,188,4460,292,9,14,14,25,30,16,9,51,0.4865,2080,17,182,104,214,0.7970999999999999,18,315,1791.63,357,15,4535,1810.13,122,1,23,90,16.57,1,294,381,541,130,18,25,12,24,829,263,43.19,135,33,10.5,102,1.0,0,765,18,0.64,2781,1.0,25,28,19.6,0,0.72,40.78,71,0,1,542,7.18
Texas A&M,8,5,0.6153846153846154,395,48,53,30.4,47,47,22.2,5275,279,5,887,134.72,27,120.44,289,5.49,79,428,5.95,16,16,7.0514018691588785,181,0.4514,14,126,33,2541,29,3.98,7.573407202216067,2340,58,526,19,0.8684000000000001,10,1757,38,870,4.83,0.44439999999999996,0.35359999999999997,132,2734,228,4,11,11,24,15,20,20,47,0.5172,2064,4,249,102,175,0.9057,15,58,1902.54,216,15,4775,1699.69,33,2,23,81,23.22,0,308,534,361,45,8,9,4,30,862,255,40.34,123,18,3.87,98,1.0,0,673,17,0.833,3018,1.0,24,21,20.53,0,0.708,43.91,64,0,0,442,8.25
Vanderbilt,7,6,0.5384615384615384,355,42,45,27.3,40,39,23.4,4139,236,9,779,143.21,18,149.51,304,6.0,75,389,5.31,10,10,7.876606683804627,162,0.44380000000000003,13,105,32,1817,15,4.29,7.6381578947368425,1891,46,475,21,0.8421,13,1830,38,816,3.83,0.5714,0.4753,106,2322,265,6,4,4,21,18,18,24,51,0.5333,2450,16,126,105,169,0.9333,8,265,1863.15,179,19,4894,1736.85,178,2,32,89,17.97,0,448,575,304,16,8,12,3,21,707,268,41.11,142,14,14.72,73,0.975,1,764,14,0.857,3064,1.0,21,25,23.58,0,0.667,48.04,77,0,1,427,11.13
Appalachian State,5,6,0.45454545454545453,293,33,46,26.6,32,32,32.9,4695,262,-9,779,131.16,13,159.73,362,6.55,62,282,6.03,4,4,8.379432624113475,125,0.43060000000000004,24,104,36,1692,15,5.29,7.660714285714286,1509,36,387,23,0.9231,16,2174,39,693,4.37,0.5909,0.456,134,3003,194,9,16,16,14,6,11,20,40,0.4,1620,20,21,118,144,0.7173999999999999,6,69,1807.0,218,25,4537,1785.45,170,0,27,77,18.37,2,500,496,392,213,13,10,6,22,626,236,41.92,96,22,11.5,66,1.0,0,702,14,0.7859999999999999,2363,0.955,16,24,20.0,0,0.875,40.5,57,0,1,411,8.5
Arkansas State,8,5,0.6153846153846154,336,41,45,25.8,33,33,32.2,4997,284,2,930,127.86,18,145.49,418,6.88,80,389,5.37,14,14,8.3573264781491,162,0.4082,32,113,43,2040,21,5.7,6.6900452488687785,1984,47,488,19,0.8776,16,2752,49,872,4.18,0.75,0.4753,144,2957,245,6,10,10,25,15,21,23,58,0.6667000000000001,2483,15,107,135,196,0.9111,14,277,1743.08,274,32,6003,1856.54,147,0,31,94,17.77,0,631,551,442,47,15,13,8,24,672,297,42.21,138,20,18.47,73,1.0,0,762,12,0.84,3251,0.963,15,27,19.72,0,0.8,42.81,77,0,2,483,9.8
Coastal Carolina,6,7,0.46153846153846156,373,39,48,28.7,45,45,31.6,4858,235,5,843,127.78,21,139.82,411,5.97,65,389,5.76,11,11,7.611825192802057,185,0.3824,22,109,48,2242,27,4.72,7.286908077994429,1877,43,484,20,0.9231,21,2419,52,901,4.63,0.3478,0.4378,103,2616,238,11,11,11,19,9,16,24,56,0.5556,2303,14,167,129,170,0.8125,15,88,1729.46,195,24,5380,1870.54,68,2,25,82,25.32,1,414,633,359,107,8,15,6,19,829,273,43.65,125,23,9.78,90,1.0,0,681,23,0.8420000000000001,2961,1.0,26,23,17.25,1,0.885,41.13,81,0,0,512,4.86
Georgia Southern,8,5,0.6153846153846154,364,41,44,28.0,39,37,27.6,4750,283,-3,893,133.62,24,137.6,359,6.3,81,438,5.32,13,13,7.675799086757991,173,0.4551,23,109,40,1659,19,4.94,6.930493273542601,2095,51,447,21,0.8332999999999999,16,2210,48,885,3.71,0.75,0.4682,139,3091,277,6,11,11,18,14,15,21,58,0.36840000000000006,2479,14,136,105,178,0.9318000000000001,7,95,1830.15,289,34,5572,1769.38,65,1,20,110,16.75,2,723,335,446,130,12,22,11,14,628,273,41.08,154,16,6.79,73,0.9490000000000001,0,1007,13,0.833,3362,0.977,19,35,21.26,0,0.684,42.74,81,0,0,447,4.64
Georgia State,3,9,0.25,286,31,39,23.8,30,30,33.8,4668,249,-2,814,127.41,13,145.09,406,6.23,57,323,5.73,9,9,7.739938080495356,153,0.35850000000000004,28,83,44,1599,17,5.23,6.835189309576838,1869,46,365,21,0.8626999999999999,12,2524,51,806,4.38,0.3846,0.451,142,3069,204,8,13,13,21,12,16,22,52,0.7059000000000001,2277,25,45,129,159,0.7948999999999999,12,24,1798.33,271,31,5024,1801.67,475,0,11,79,18.09,1,518,199,449,138,10,14,6,18,589,265,40.63,118,26,2.0,61,1.0,0,700,12,0.762,2500,1.0,14,24,16.71,0,0.857,43.79,69,1,0,483,19.0
James Madison,9,4,0.6923076923076923,433,43,50,33.3,48,45,20.5,5299,269,20,902,144.6,20,111.48,266,4.87,76,429,5.87,17,17,6.256410256410256,186,0.4108,13,130,27,2490,33,3.49,7.353403141361256,2668,67,520,28,0.7940999999999999,19,1500,34,859,4.79,0.37929999999999997,0.3226,122,2809,234,12,4,4,23,22,18,16,53,0.5152,2119,18,265,86,185,0.86,17,187,1908.15,232,21,4184,1691.85,140,4,23,68,22.7,1,518,522,382,34,11,11,5,19,708,227,39.82,122,29,8.5,91,0.938,1,587,12,0.7829999999999999,2684,0.963,13,17,24.67,0,0.9229999999999999,39.98,60,2,1,430,7.78
Louisiana-Lafayette,10,4,0.7142857142857143,433,55,60,30.9,47,46,24.1,5812,290,10,896,149.53,26,123.74,338,5.38,72,430,6.49,16,16,6.323255813953488,179,0.4235,20,114,46,2330,20,4.53,8.451456310679612,2311,55,484,22,1.0,10,2159,46,907,4.81,0.6154,0.44689999999999996,150,3482,273,5,9,9,32,18,29,19,36,0.75,1410,4,122,131,170,0.9167000000000001,15,97,1878.0,269,32,4878,1722.07,28,1,41,75,19.1,1,829,783,412,57,16,7,2,19,683,282,42.02,132,26,5.39,82,0.9790000000000001,1,647,17,0.9059999999999999,2719,0.972,21,26,25.91,1,0.81,39.17,80,0,0,477,7.0
Louisiana-Monroe,5,7,0.4166666666666667,252,26,28,21.0,29,28,28.8,3653,185,-1,702,114.68,17,126.88,345,5.61,50,327,5.2,6,6,6.749235474006116,154,0.3268,27,99,41,2036,23,4.86,6.573170731707317,1822,44,456,11,0.9111,16,2401,45,821,4.46,0.64,0.4351,67,1617,192,8,12,12,17,6,14,15,58,0.4783,2276,11,56,145,153,0.9286,11,63,1846.75,134,8,4608,1753.33,59,1,36,79,20.19,0,121,727,246,115,16,15,3,15,519,256,41.41,96,25,10.5,71,0.966,0,637,14,0.8240000000000001,2207,0.951,17,19,15.13,0,0.8240000000000001,39.24,67,0,0,494,5.36
Marshall,10,3,0.7692307692307693,414,41,50,31.8,48,48,23.1,4976,258,10,842,142.0,21,120.39,300,5.41,67,382,5.91,13,13,6.774869109947644,187,0.39640000000000003,21,136,30,2622,39,4.42,7.069069069069069,2620,63,509,27,0.7895,18,2327,38,909,5.15,0.5882000000000001,0.3155,101,2354,219,7,4,4,25,17,18,15,57,0.6154,2423,11,55,120,169,0.82,24,121,1698.69,194,33,4915,1901.31,158,2,16,91,19.0,0,832,304,333,13,10,14,6,19,566,257,41.59,118,17,7.12,70,1.0,0,798,14,0.72,2588,1.0,17,21,25.21,0,0.8240000000000001,42.51,59,1,0,527,14.36
Old Dominion,5,7,0.4166666666666667,336,38,40,28.0,42,37,28.0,4832,236,-3,814,128.4,27,138.94,336,5.73,75,374,5.94,12,12,7.6310160427807485,182,0.431,18,116,32,2517,16,4.27,6.951951951951952,2341,57,481,17,0.8205,18,2071,39,859,5.23,0.6364,0.4341,106,2315,228,5,9,9,12,19,11,23,68,0.5,2772,18,143,116,174,0.95,8,107,1679.75,195,22,4925,1920.25,71,0,37,71,19.51,0,334,722,333,29,7,21,11,22,650,256,41.07,118,11,5.63,74,0.8809999999999999,0,590,14,0.917,2854,0.919,21,14,15.18,0,0.667,40.76,79,0,0,485,3.94
South Alabama,7,6,0.5384615384615384,447,47,55,34.4,53,50,25.2,5748,281,8,840,147.61,32,134.21,327,5.74,59,430,6.84,16,16,7.523255813953488,183,0.3856,19,131,39,2583,25,4.06,8.09462915601023,2292,56,449,21,0.8125,12,1848,48,885,5.75,0.7,0.38799999999999996,134,3165,278,4,6,6,19,14,17,18,54,0.52,2137,15,367,101,153,0.8545,13,204,1765.54,254,16,5083,1834.46,80,3,44,70,20.45,1,246,900,391,91,14,12,6,29,927,274,40.93,144,20,14.57,107,0.943,0,628,19,0.895,3235,0.971,21,16,15.38,0,0.905,39.57,71,1,1,455,5.33
Southern Mississippi,1,11,0.08333333333333333,183,22,30,15.3,18,15,37.8,3402,185,-19,729,104.55,13,154.02,453,6.78,38,321,4.67,6,6,8.093457943925234,156,0.25,31,84,47,1303,18,5.89,6.621451104100946,1778,46,412,7,0.8868,12,2792,53,795,3.16,0.44439999999999996,0.42310000000000003,75,2099,209,4,17,17,16,9,10,24,61,0.7222,2714,25,115,131,152,0.7333,13,39,1642.67,166,22,5390,1832.67,132,1,17,74,23.53,2,414,400,317,199,12,20,12,14,579,261,38.65,116,27,4.33,72,0.833,0,659,16,0.625,2598,0.948,20,26,18.82,1,0.8,44.49,66,0,0,474,5.28
Texas State,8,5,0.6153846153846154,475,43,52,36.5,56,54,24.5,6200,339,-5,957,155.41,27,122.02,319,5.29,78,401,6.48,9,9,6.957605985037406,184,0.4561,24,157,36,2707,28,3.89,8.142191142191143,2658,63,528,31,0.8371999999999999,23,1859,43,879,5.13,0.6522,0.3696,161,3493,230,9,14,14,19,21,15,13,39,0.5357,1445,1,120,101,171,0.8269,15,351,1871.85,299,27,4649,1728.15,5,1,12,82,18.75,1,583,225,429,170,15,19,9,29,834,256,42.19,126,23,16.71,88,0.9640000000000001,0,632,18,0.789,2790,1.0,20,21,21.59,0,0.9,37.05,68,0,1,478,5.0
Troy,4,8,0.3333333333333333,312,35,37,26.0,37,35,28.4,4430,244,-7,775,141.3,17,143.46,341,5.97,81,332,5.72,6,6,8.009036144578314,142,0.5031,24,105,39,1874,13,4.31,7.539823008849558,1828,45,436,21,0.907,7,1744,43,737,4.3,0.4706,0.36619999999999997,121,2556,222,3,9,9,13,12,11,13,46,0.46149999999999997,1686,7,80,88,161,0.9459000000000001,6,159,1817.17,213,19,4403,1782.83,56,1,17,69,28.71,1,306,488,339,100,8,17,7,35,706,230,40.62,107,17,13.25,80,0.946,0,623,22,0.846,2659,0.943,25,18,16.11,1,0.88,36.65,52,0,1,405,8.0
