Team,Wins,Losses,WL%,TEAM Total Points,TEAM Red Zone Scores,TEAM Red Zone Attempts,TEAM Scoring Points/Game,TEAM PAT Kicking Attempts,TEAM PAT Kicking Made,OPP Scoring Points/Game,TEAM Total Offense Yards,TEAM First Downs Total,Turnover margin,TEAM Total Offense Plays,TEAM Passing Rating,TEAM Rushing TD,OPP Passing Rating,OPP Total Points,OPP Total Offense Yards / Play,TEAM 3rd Down Conversions,OPP Passing Attempts,TEAM Total Offense Yards / Play,OPP Passing Interceptions,TEAM Interceptions Returns,OPP Passing Yards per Attempt,OPP 3rd Down Conversions Attempts,TEAM 3rd Down Conversion %,OPP Rushing TD,TEAM First Downs Rushing,OPP Red Zone Scores,TEAM Rushing Yards,OPP 4th Down Conversions Attempts,OPP Rushing Yards / Attempt,TEAM Passing Yards per Attempt,OPP Punting Yards,OPP Punting Punts,TEAM Rushing Attempts,TEAM Passing TD,OPP Red Zone Success %,OPP Fumbles Number,OPP Rushing Yards,OPP Red Zone Attempts,OPP Total Offense Plays,TEAM Rushing Yards / Attempt,TEAM 4th Down Conversion %,OPP 3rd Down Conversion %,TEAM First Downs Passing,TEAM Passing Yards,OPP Passing Completions,OPP Fumbles Lost,TEAM Passing Interceptions,OPP Interceptions Returns,TEAM Field Goals Attempts,TEAM Punt Returns Returns,TEAM Field Goals Made,OPP Passing TD,TEAM Punting Punts,OPP 4th Down Conversion %,TEAM Punting Yards,OPP Punt Returns Returns,TEAM Interceptions Yards,OPP First Downs Rushing,TEAM 3rd Down Conversions Attempts,TEAM Red Zone Success %,OPP 4th Down Conversions,TEAM Punt Returns Yards,TEAM Time of Possession,TEAM Passing Completions,TEAM Kickoff Returns Returns,OPP Total Offense Yards,OPP Time of Possession,OPP Punt Returns Yards,TEAM Interceptions TD,OPP Kickoff Returns Returns,OPP Penalties Number,OPP Kickoff Returns Yards / Return,OPP Interceptions TD,TEAM Kickoff Returns Yards,OPP Kickoff Returns Yards,TEAM Passing Attempts,OPP Interceptions Yards,TEAM 4th Down Conversions,TEAM Fumbles Number,TEAM Fumbles Lost,OPP First Downs By Penalty,TEAM Penalties Yards,OPP First Downs Total,OPP Punting Yards / Punt,OPP First Downs Passing,TEAM 4th Down Conversions Attempts,TEAM Punt Returns Yards / Return,TEAM Penalties Number,TEAM PAT Kicking Success %,TEAM Kickoff Returns TD,OPP Penalties Yards,OPP Field Goals Made,TEAM Field Goals Success %,OPP Passing Yards,OPP PAT Kicking Success %,OPP Field Goals Attempts,TEAM First Downs By Penalty,TEAM Kickoff Returns Yards / Return,OPP Kickoff Returns TD,OPP Field Goals Success %,TEAM Punting Yards / Punt,OPP 3rd Down Conversions,OPP Punt Returns TD,TEAM Punt Returns TD,OPP Rushing Attempts,OPP Punt Returns Yards / Return
West Virginia,6,7,0.46153846153846156,379,45,53,29.2,42,42,31.9,5252,294,-8,900,133.06,27,160.25,415,6.5,75,386,5.84,5,5,9.121761658031089,156,0.4261,28,141,42,2518,20,4.23,7.369272237196766,1880,43,529,20,0.875,10,1877,48,830,4.76,0.625,0.4936,128,2734,247,6,14,14,14,15,13,26,36,0.65,1530,9,101,109,176,0.8491,13,123,1919.54,226,24,5398,1679.62,60,1,38,77,17.05,1,530,648,371,74,25,19,5,18,446,283,43.72,156,40,8.2,57,1.0,0,664,8,0.929,3521,0.981,12,25,22.08,0,0.667,42.5,77,1,0,444,6.67
Illinois,10,3,0.7692307692307693,368,44,51,28.3,39,38,21.7,4743,265,6,805,142.85,22,123.0,282,5.48,72,444,5.89,12,12,6.581081081081081,178,0.4645,12,110,39,1997,25,4.37,7.779036827195467,1836,41,452,22,0.8298000000000001,17,1929,47,885,4.42,0.4706,0.44939999999999997,127,2746,262,8,6,6,22,27,18,19,45,0.44,1836,9,134,117,155,0.8626999999999999,11,358,1745.15,213,14,4851,1854.85,87,1,15,73,15.53,1,272,233,353,53,8,15,8,17,522,275,44.78,141,17,13.26,68,0.9740000000000001,0,661,17,0.818,2922,0.9640000000000001,23,28,19.43,0,0.7390000000000001,40.8,80,0,0,441,9.67
Indiana,11,2,0.8461538461538461,537,64,69,41.3,69,69,15.6,5543,306,15,852,174.03,37,112.48,203,4.28,68,397,6.51,15,15,5.765743073047859,168,0.4722,12,130,26,2146,32,2.74,9.409972299168976,2701,62,491,33,0.8125,16,1043,32,778,4.37,0.5909,0.3274,155,3397,248,9,6,6,11,28,10,11,36,0.3125,1528,10,218,68,144,0.9275,10,325,1842.15,246,6,3332,1757.85,121,2,41,76,19.61,0,127,804,361,65,13,10,3,20,571,192,43.56,104,22,11.61,62,1.0,0,584,12,0.909,2289,1.0,14,21,21.17,0,0.857,42.44,55,1,0,381,12.1
Iowa,8,5,0.6153846153846154,360,37,41,27.7,40,40,17.8,4275,217,12,761,124.51,30,122.8,232,5.01,69,420,5.62,16,16,6.285714285714286,173,0.4132,4,117,26,2564,13,3.69,6.5807692307692305,2889,69,501,10,0.8125,18,1499,32,826,5.12,0.375,0.3642,82,1711,260,8,8,8,23,27,20,20,64,0.5385,2822,8,140,93,167,0.9024,7,327,1758.31,163,29,4139,1843.23,152,1,23,74,18.22,1,791,419,260,169,3,13,4,14,388,230,41.87,123,8,12.11,41,1.0,1,581,15,0.87,2640,1.0,21,18,27.28,0,0.7140000000000001,44.09,63,2,1,406,19.0
Maryland,4,8,0.3333333333333333,284,35,42,23.7,32,31,30.4,4633,258,-3,864,128.38,15,140.07,365,5.59,72,384,5.36,9,9,7.541666666666667,167,0.4022,19,75,42,1325,18,3.84,6.696356275303644,2364,53,370,21,0.8571,13,1641,49,811,3.58,0.45159999999999995,0.4012,157,3308,240,8,14,14,16,12,11,22,53,0.6667000000000001,2343,17,133,98,179,0.8332999999999999,12,107,1805.92,315,17,4537,1794.0,109,0,20,72,23.35,1,234,467,494,197,14,9,6,28,703,252,44.6,126,31,8.92,77,0.9690000000000001,0,633,19,0.688,2896,1.0,23,26,13.76,0,0.826,44.21,67,0,0,427,6.41
Michigan,8,5,0.6153846153846154,286,33,39,22.0,28,27,19.9,3721,210,-2,794,111.87,18,123.15,259,4.86,74,436,4.69,12,12,6.4495412844036695,186,0.4205,10,110,36,2043,14,3.06,5.4480519480519485,2471,55,486,12,0.7659999999999999,11,1179,47,821,4.2,0.7059000000000001,0.414,86,1678,262,6,13,13,22,15,21,19,55,0.35710000000000003,2365,14,149,81,176,0.8462000000000001,5,158,1914.23,190,24,3991,1685.77,239,2,12,54,15.67,0,495,188,308,139,12,15,7,19,514,226,44.93,126,17,10.53,52,0.9640000000000001,0,409,18,0.955,2812,1.0,28,14,20.63,0,0.643,43.0,77,0,0,385,17.07
Michigan State,5,7,0.4166666666666667,232,28,37,19.3,25,23,26.1,4001,226,-8,747,127.69,11,136.45,313,5.36,59,339,5.36,9,9,7.32448377581121,158,0.3831,19,99,41,1384,21,3.72,7.413597733711049,1941,45,394,13,0.8542000000000001,8,1501,48,743,3.51,0.5217,0.44299999999999995,110,2617,206,2,12,12,21,6,19,20,45,0.6667000000000001,2094,22,214,77,154,0.7568,14,50,1835.17,212,10,3984,1745.33,209,1,13,50,20.69,0,168,269,353,132,12,11,7,26,760,224,43.13,121,23,8.33,80,0.92,0,407,13,0.905,2483,0.971,18,17,16.8,0,0.722,46.53,70,0,0,404,9.5
Minnesota,8,5,0.6153846153846154,340,42,48,26.2,39,38,16.9,4391,265,9,816,138.25,18,111.14,220,4.76,77,373,5.38,17,17,6.136729222520107,172,0.4556,14,94,26,1503,17,3.5,7.009708737864078,2645,61,404,20,0.7646999999999999,11,1425,34,780,3.72,0.9091,0.3895,143,2888,220,4,6,6,28,24,20,11,53,0.4118,2260,17,239,77,169,0.875,7,196,1917.15,273,21,3714,1683.46,138,2,10,65,20.9,0,401,209,412,61,10,10,6,20,488,208,43.36,111,11,8.17,63,0.9740000000000001,0,638,15,0.7140000000000001,2289,0.958,19,28,19.1,0,0.789,42.64,67,0,0,407,8.12
Nebraska,7,6,0.5384615384615384,306,40,53,23.5,37,35,19.5,4667,283,-2,883,127.88,22,140.52,253,5.37,75,379,5.29,11,11,7.432717678100264,159,0.42369999999999997,8,109,28,1698,27,3.37,6.825287356321839,2268,54,448,13,0.7568,14,1316,37,769,3.79,0.39130000000000004,0.3522,137,2969,242,6,12,12,19,15,13,23,51,0.40740000000000004,2093,19,191,69,177,0.7547,11,73,1927.31,288,23,4133,1672.69,234,3,27,80,21.74,1,427,587,435,145,9,17,7,24,691,214,42.0,121,23,4.87,81,0.946,0,813,9,0.684,2817,1.0,18,37,18.57,0,0.5,41.04,56,0,0,390,12.32
Northwestern,4,8,0.3333333333333333,214,26,38,17.8,21,21,26.3,3413,192,-2,746,101.92,12,129.97,316,5.56,55,391,4.58,10,10,7.115089514066496,156,0.3293,22,76,40,1182,20,4.0,5.705882352941177,2070,49,355,7,0.8,9,1559,50,781,3.33,0.5,0.40380000000000005,100,2231,245,6,11,11,24,16,17,15,58,0.45,2459,25,168,89,167,0.6842,9,243,1773.08,210,26,4341,1812.25,261,2,24,46,21.04,0,583,505,391,98,9,15,7,10,459,229,42.24,130,18,15.19,57,1.0,0,386,15,0.708,2782,1.0,21,16,22.42,0,0.7140000000000001,42.4,63,1,1,390,10.44
