year,conf,WTeamName,WScore,LTeamName,LScore
2024,ACC,SMU,33,Virginia,7
2024,ACC,Boston_College,41,North_Carolina,21
2024,ACC,Miami_FL,42,Wake_Forest,14
2024,ACC,SMU,38,California,6
2024,ACC,Duke,23,Wake_Forest,17
2024,ACC,Boston_College,34,Pittsburgh,23
2024,ACC,Virginia_Tech,37,Virginia,17
2024,ACC,Syracuse,42,Miami_FL,38
2024,ACC,NC_State,35,North_Carolina,30
2024,ACC,Clemson,34,SMU,31
2024,SEC,South_Carolina,31,Kentucky,6
2024,SEC,Texas_A&M,33,Florida,20
2024,SEC,Georgia,13,Kentucky,12
2024,SEC,LSU,36,South_Carolina,33
2024,SEC,Florida,45,Mississippi_St,28
2024,SEC,Arkansas,24,Auburn,14
2024,SEC,Missouri,30,Vanderbilt,27
2024,SEC,Tennessee,25,Oklahoma,15
2024,SEC,Oklahoma,27,Auburn,21
2024,SEC,Texas_A&M,21,Arkansas,17
2024,SEC,Alabama,41,Georgia,34
2024,SEC,Kentucky,20,Mississippi,17
2024,SEC,Texas,35,Mississippi_St,13
2024,SEC,Georgia,31,Auburn,13
2024,SEC,Texas_A&M,41,Missouri,10
2024,SEC,Arkansas,19,Tennessee,14
2024,SEC,Mississippi,27,South_Carolina,3
2024,SEC,Vanderbilt,40,Alabama,35
2024,SEC,Tennessee,23,Florida,17
2024,SEC,Alabama,27,South_Carolina,25
2024,SEC,Georgia,41,Mississippi_St,31
2024,SEC,Vanderbilt,20,Kentucky,13
2024,SEC,LSU,29,Mississippi,26
2024,SEC,Texas,34,Oklahoma,3
2024,SEC,Florida,48,Kentucky,20
2024,SEC,Missouri,21,Auburn,17
2024,SEC,Tennessee,24,Alabama,17
2024,SEC,LSU,34,Arkansas,10
2024,SEC,Texas_A&M,34,Mississippi_St,24
2024,SEC,South_Carolina,35,Oklahoma,9
2024,SEC,Georgia,30,Texas,15
2024,SEC,Auburn,24,Kentucky,10
2024,SEC,Alabama,34,Missouri,0
2024,SEC,Texas,27,Vanderbilt,24
2024,SEC,Mississippi,26,Oklahoma,14
2024,SEC,Arkansas,58,Mississippi_St,25
2024,SEC,Texas_A&M,38,LSU,23
2024,SEC,Georgia,34,Florida,20
2024,SEC,Vanderbilt,17,Auburn,7
2024,SEC,Tennessee,28,Kentucky,18
2024,SEC,Mississippi,63,Arkansas,31
2024,SEC,South_Carolina,44,Texas_A&M,20
2024,SEC,Texas,49,Florida,17
2024,SEC,Missouri,30,Oklahoma,23
2024,SEC,Tennessee,33,Mississippi_St,14
2024,SEC,Alabama,42,LSU,13
2024,SEC,Mississippi,28,Georgia,10
2024,SEC,South_Carolina,28,Vanderbilt,7
2024,SEC,Florida,27,LSU,16
2024,SEC,South_Carolina,34,Missouri,30
2024,SEC,Georgia,31,Tennessee,17
2024,SEC,Texas,20,Arkansas,10
