date,name1,score1,rating1,name2,score2,rating2
2026-01-29, High_Point,84,12.999999999999996, Presbyterian,81,-0.6666666666666669
2026-01-29, SC_Upstate,65,-5.666666666666667, Longwood,60,2.7777777777777777
2026-01-29, UNC_Asheville,69,0.16666666666666638, Gardner_Webb,50,-15.555555555555555
2026-01-31, Winthrop,84,5.333333333333333, UNC_Asheville,71,0.16666666666666638
2026-01-31, Radford,93,1.7222222222222223, Presbyterian,84,-0.6666666666666669
2026-01-31, High_Point,71,12.999999999999996, Longwood,59,2.7777777777777777
2026-02-04, Winthrop,80,5.333333333333333, Radford,78,1.7222222222222223
2026-02-04, UNC_Asheville,76,0.16666666666666638, SC_Upstate,67,-5.666666666666667
2026-02-04, Longwood,86,2.7777777777777777, Gardner_Webb,66,-15.555555555555555
2026-02-04, High_Point,80,12.999999999999996, Charleston_So,55,-1.1111111111111116
2026-02-07, High_Point,86,12.999999999999996, Radford,77,1.7222222222222223
2026-02-07, Winthrop,79,5.333333333333333, Longwood,74,2.7777777777777777
2026-02-07, Presbyterian,68,-0.6666666666666669, Gardner_Webb,62,-15.555555555555555
2026-02-07, SC_Upstate,100,-5.666666666666667, Charleston_So,94,-1.1111111111111116
2026-02-12, Winthrop,103,5.333333333333333, Gardner_Webb,85,-15.555555555555555
2026-02-12, UNC_Asheville,79,0.16666666666666638, Longwood,74,2.7777777777777777
2026-02-12, Charleston_So,84,-1.1111111111111116, Presbyterian,67,-0.6666666666666669
2026-02-12, High_Point,95,12.999999999999996, SC_Upstate,70,-5.666666666666667
2026-02-14, Longwood,82,2.7777777777777777, SC_Upstate,75,-5.666666666666667
2026-02-14, Presbyterian,58,-0.6666666666666669, UNC_Asheville,57,0.16666666666666638
2026-02-14, High_Point,112,12.999999999999996, Gardner_Webb,87,-15.555555555555555
2026-02-14, Radford,90,1.7222222222222223, Charleston_So,80,-1.1111111111111116
2026-02-17, Charleston_So,75,-1.1111111111111116, Gardner_Webb,66,-15.555555555555555
2026-02-19, Winthrop,68,5.333333333333333, SC_Upstate,64,-5.666666666666667
2026-02-19, High_Point,74,12.999999999999996, UNC_Asheville,48,0.16666666666666638
2026-02-19, Presbyterian,72,-0.6666666666666669, Longwood,65,2.7777777777777777
2026-02-19, Radford,82,1.7222222222222223, Gardner_Webb,70,-15.555555555555555
2026-02-21, High_Point,89,12.999999999999996, Winthrop,87,5.333333333333333
2026-02-21, UNC_Asheville,74,0.16666666666666638, Radford,73,1.7222222222222223
2026-02-21, SC_Upstate,76,-5.666666666666667, Presbyterian,74,-0.6666666666666669
2026-02-21, Longwood,107,2.7777777777777777, Charleston_So,96,-1.1111111111111116
2026-02-26, Charleston_So,86,-1.1111111111111116, Winthrop,84,5.333333333333333
2026-02-26, Radford,71,1.7222222222222223, SC_Upstate,59,-5.666666666666667
2026-02-26, UNC_Asheville,77,0.16666666666666638, Gardner_Webb,71,-15.555555555555555
2026-02-26, High_Point,79,12.999999999999996, Presbyterian,73,-0.6666666666666669
2026-02-28, Longwood,90,2.7777777777777777, Radford,74,1.7222222222222223
2026-02-28, Winthrop,74,5.333333333333333, Presbyterian,70,-0.6666666666666669
2026-02-28, SC_Upstate,71,-5.666666666666667, Gardner_Webb,61,-15.555555555555555
2026-02-28, Charleston_So,92,-1.1111111111111116, UNC_Asheville,75,0.16666666666666638
